,SALES,ORDERDATE,STATUS,PRODUCTLINE,COUNTRY,DEALSIZE
137,3536.82,2003-10-21,Resolved,Classic Cars,Austria,Medium
138,5362.83,2003-11-06,Shipped,Classic Cars,UK,Medium
139,3433.36,2003-11-13,Shipped,Classic Cars,USA,Medium
140,4263.74,2003-11-25,Shipped,Classic Cars,France,Medium
141,4076.19,2003-12-09,Shipped,Classic Cars,USA,Medium
142,7020.48,2004-02-04,Shipped,Classic Cars,Singapore,Large
143,6426.5,2004-03-11,Shipped,Classic Cars,USA,Medium
144,4591.72,2004-05-04,Shipped,Classic Cars,USA,Medium
145,4033.38,2004-06-15,Shipped,Classic Cars,Singapore,Medium
146,4302.08,2004-07-19,Shipped,Classic Cars,Australia,Medium
147,7020.64,2004-08-19,Shipped,Classic Cars,USA,Large
148,3855.9,2004-09-08,Shipped,Classic Cars,Sweden,Medium
149,6680.78,2004-10-13,Shipped,Classic Cars,USA,Medium
150,6678.0,2004-10-22,Shipped,Classic Cars,Canada,Medium
151,2851.54,2004-11-04,Shipped,Classic Cars,USA,Small
152,3188.12,2004-11-19,On Hold,Classic Cars,Sweden,Medium
153,4428.0,2004-11-29,Shipped,Classic Cars,Australia,Medium
154,5780.92,2004-12-10,Shipped,Classic Cars,USA,Medium
155,2297.05,2005-01-20,Shipped,Classic Cars,Australia,Small
156,6231.54,2005-02-17,Shipped,Classic Cars,USA,Medium
157,1735.3,2005-03-09,Shipped,Classic Cars,Australia,Small
158,4427.73,2005-05-01,Shipped,Classic Cars,Canada,Medium
159,5894.94,2005-05-31,In Process,Classic Cars,France,Medium
160,5265.15,2003-03-03,Shipped,Classic Cars,Philippines,Medium
161,7599.9,2003-05-08,Shipped,Classic Cars,France,Large
162,8008.56,2003-07-02,Shipped,Classic Cars,USA,Large
163,9245.76,2003-09-05,Shipped,Classic Cars,USA,Large
164,8296.35,2003-10-10,Shipped,Classic Cars,USA,Large
165,5019.9,2003-11-04,Shipped,Classic Cars,Australia,Medium
166,5411.07,2003-11-12,Shipped,Classic Cars,Norway,Medium
167,3840.9,2003-11-20,Shipped,Classic Cars,Germany,Medium
168,3930.4,2003-12-02,Shipped,Classic Cars,Spain,Medium
169,7498.9,2004-01-15,Shipped,Classic Cars,France,Large
170,4517.91,2004-02-22,Shipped,Classic Cars,Switzerland,Medium
171,5774.72,2004-04-09,Shipped,Classic Cars,Denmark,Medium
172,3922.56,2004-06-01,Cancelled,Classic Cars,UK,Medium
173,9160.36,2004-07-06,Shipped,Classic Cars,Italy,Large
174,9631.0,2004-08-02,Shipped,Classic Cars,USA,Large
175,3432.24,2004-08-30,Shipped,Classic Cars,Switzerland,Medium
176,5521.89,2003-10-04,Shipped,Classic Cars,Germany,Medium
177,6934.62,2004-10-16,Shipped,Classic Cars,Germany,Medium
178,6876.11,2004-11-03,Shipped,Classic Cars,Sweden,Medium
179,2930.27,2004-11-15,Shipped,Classic Cars,USA,Small
180,3584.25,2004-11-24,Shipped,Classic Cars,Austria,Medium
181,2817.87,2005-01-06,Shipped,Classic Cars,Finland,Small
182,3420.0,2005-02-03,Shipped,Classic Cars,France,Medium
183,2575.04,2005-03-03,Shipped,Classic Cars,Sweden,Small
184,1961.28,2005-05-17,Shipped,Classic Cars,Austria,Small
185,8690.36,2003-02-11,Shipped,Classic Cars,Denmark,Large
186,6034.38,2003-04-16,Shipped,Classic Cars,Singapore,Medium
187,11279.2,2003-06-03,Shipped,Classic Cars,USA,Large
188,8023.29,2003-08-08,Shipped,Classic Cars,USA,Large
189,4904.0,2003-09-28,Shipped,Classic Cars,Spain,Medium
190,8594.52,2003-10-22,Shipped,Classic Cars,Singapore,Large
191,7474.5,2003-11-06,Shipped,Classic Cars,Italy,Large
192,3883.74,2003-11-14,Shipped,Classic Cars,USA,Medium
193,8887.7,2003-11-26,Shipped,Classic Cars,USA,Large
194,8602.92,2004-01-02,Shipped,Classic Cars,France,Large
195,7181.44,2004-02-12,Shipped,Classic Cars,Ireland,Large
196,8378.58,2004-03-19,Shipped,Classic Cars,Spain,Large
197,10606.2,2004-05-05,Shipped,Classic Cars,Finland,Large
198,5818.4,2004-07-20,Shipped,Classic Cars,USA,Medium
199,7071.27,2004-08-20,Shipped,Classic Cars,USA,Large
200,8411.56,2004-09-09,Shipped,Classic Cars,Italy,Large
201,6570.76,2004-10-14,Shipped,Classic Cars,UK,Medium
202,7975.44,2004-10-22,Shipped,Classic Cars,Denmark,Large
203,2688.0,2004-11-05,Shipped,Classic Cars,Norway,Small
204,1888.26,2004-11-20,Shipped,Classic Cars,France,Small
205,2513.28,2004-11-01,Shipped,Classic Cars,Spain,Small
206,4764.48,2004-12-15,Shipped,Classic Cars,France,Medium
207,3560.64,2005-01-23,Shipped,Classic Cars,USA,Medium
208,3823.64,2005-02-17,Shipped,Classic Cars,USA,Medium
209,2280.96,2005-03-17,Shipped,Classic Cars,France,Small
210,8677.8,2005-05-05,Shipped,Classic Cars,USA,Large
211,3394.98,2003-01-29,Shipped,Trucks and Buses,Norway,Medium
212,3415.44,2003-03-26,Shipped,Trucks and Buses,USA,Medium
213,2439.57,2003-05-28,Shipped,Trucks and Buses,Spain,Small
214,4829.8,2003-07-24,Shipped,Trucks and Buses,USA,Medium
215,4100.1,2003-09-19,Shipped,Trucks and Buses,Singapore,Medium
216,6563.06,2003-10-21,Resolved,Trucks and Buses,Austria,Medium
217,6817.22,2003-11-06,Shipped,Trucks and Buses,Australia,Medium
218,6163.94,2003-11-13,Shipped,Trucks and Buses,USA,Medium
219,4933.92,2003-11-25,Shipped,Trucks and Buses,France,Medium
220,4056.36,2003-12-05,Shipped,Trucks and Buses,Canada,Medium
221,5759.42,2004-02-02,Shipped,Trucks and Buses,France,Medium
222,3451.0,2004-03-11,Shipped,Trucks and Buses,USA,Medium
223,5920.4,2004-05-04,Shipped,Trucks and Buses,USA,Medium
224,6668.24,2004-06-15,Shipped,Trucks and Buses,Japan,Medium
225,4094.72,2004-07-19,Shipped,Trucks and Buses,Australia,Medium
226,2938.5,2004-08-19,Shipped,Trucks and Buses,USA,Small
227,6387.8,2004-09-08,Shipped,Trucks and Buses,Sweden,Medium
228,6396.0,2004-10-11,Shipped,Trucks and Buses,France,Medium
229,2669.1,2004-10-22,Shipped,Trucks and Buses,Canada,Small
230,4784.13,2004-11-04,Shipped,Trucks and Buses,USA,Medium
231,3273.93,2004-11-18,Shipped,Trucks and Buses,USA,Medium
232,3586.43,2004-11-29,Shipped,Trucks and Buses,Australia,Medium
233,5960.36,2004-12-10,Shipped,Trucks and Buses,USA,Medium
234,8470.14,2005-01-20,Shipped,Trucks and Buses,Australia,Large
235,2952.0,2005-02-17,Shipped,Trucks and Buses,USA,Small
236,2464.8,2005-03-09,Shipped,Trucks and Buses,Australia,Small
237,6232.0,2005-05-01,Shipped,Trucks and Buses,Canada,Medium
238,7969.36,2005-05-31,In Process,Trucks and Buses,Spain,Large
239,3036.6,2003-02-24,Shipped,Motorcycles,USA,Medium
240,8284.0,2003-05-07,Shipped,Motorcycles,France,Large
241,2711.2,2003-07-01,Shipped,Motorcycles,France,Small
242,8339.8,2003-08-25,Shipped,Motorcycles,USA,Large
243,6238.84,2003-10-10,Shipped,Motorcycles,USA,Medium
244,4639.25,2003-11-04,Shipped,Motorcycles,Australia,Medium
245,6747.6,2003-11-11,Shipped,Motorcycles,France,Medium
246,4512.48,2003-11-18,Shipped,Motorcycles,USA,Medium
247,4029.0,2003-12-01,Shipped,Motorcycles,USA,Medium
248,4771.8,2004-01-15,Shipped,Motorcycles,France,Medium
249,6087.94,2004-02-21,Shipped,Motorcycles,France,Medium
250,4193.28,2004-04-05,Shipped,Motorcycles,USA,Medium
251,7552.28,2004-05-18,Shipped,Motorcycles,USA,Large
252,6434.4,2004-06-28,Shipped,Motorcycles,USA,Medium
253,5181.5,2004-08-02,Shipped,Motorcycles,USA,Medium
254,6863.92,2004-08-27,Shipped,Motorcycles,USA,Medium
255,4157.04,2004-09-30,Shipped,Motorcycles,Finland,Medium
256,4660.24,2004-10-15,Shipped,Motorcycles,Norway,Medium
257,4111.8,2004-11-03,Shipped,Motorcycles,USA,Medium
258,3542.64,2004-11-15,Shipped,Motorcycles,USA,Medium
259,8118.55,2004-11-24,Shipped,Motorcycles,Austria,Large
260,3877.06,2005-01-05,Shipped,Motorcycles,USA,Medium
261,3867.08,2005-02-03,Shipped,Motorcycles,France,Medium
262,5951.44,2005-03-03,Shipped,Motorcycles,USA,Medium
263,8648.64,2005-04-08,Shipped,Motorcycles,UK,Large
264,3447.78,2005-05-13,Disputed,Motorcycles,Spain,Medium
265,5958.5,2003-01-31,Shipped,Classic Cars,Spain,Medium
266,5911.64,2003-04-16,Shipped,Classic Cars,Singapore,Medium
267,7366.44,2003-06-03,Shipped,Classic Cars,USA,Large
268,4985.64,2003-08-08,Shipped,Classic Cars,USA,Medium
269,5393.64,2003-09-28,Shipped,Classic Cars,Spain,Medium
270,4880.02,2003-10-22,Shipped,Classic Cars,Singapore,Medium
271,8378.69,2003-11-06,Shipped,Classic Cars,Italy,Large
272,4038.21,2003-11-14,Shipped,Classic Cars,USA,Medium
273,3807.12,2003-11-26,Shipped,Classic Cars,USA,Medium
274,3142.36,2004-01-02,Shipped,Classic Cars,France,Medium
275,4713.6,2004-02-12,Shipped,Classic Cars,Ireland,Medium
276,7016.31,2004-03-15,Shipped,Classic Cars,Germany,Large
277,4381.25,2004-05-05,Shipped,Classic Cars,Finland,Medium
278,4283.01,2004-07-20,Shipped,Classic Cars,USA,Medium
279,4364.82,2004-08-20,Shipped,Classic Cars,USA,Medium
280,4242.24,2004-09-09,Shipped,Classic Cars,Italy,Medium
281,4982.7,2004-10-14,Shipped,Classic Cars,UK,Medium
282,6393.54,2004-10-22,Shipped,Classic Cars,Denmark,Medium
283,1466.91,2004-11-05,Shipped,Classic Cars,USA,Small
284,4059.33,2004-11-20,Shipped,Classic Cars,France,Medium
285,4801.52,2004-11-01,Shipped,Classic Cars,Spain,Medium
286,2711.66,2004-12-10,Shipped,Classic Cars,Spain,Small
287,5862.0,2005-01-26,Shipped,Classic Cars,Japan,Medium
288,4071.85,2005-02-17,Shipped,Classic Cars,USA,Medium
289,8236.75,2005-05-05,Shipped,Classic Cars,USA,Large
290,6130.35,2003-03-03,Shipped,Classic Cars,Philippines,Medium
291,3693.34,2003-05-08,Shipped,Classic Cars,France,Medium
292,6031.68,2003-07-02,Shipped,Classic Cars,USA,Medium
293,3494.94,2003-09-05,Shipped,Classic Cars,USA,Medium
294,5294.14,2003-10-11,Shipped,Classic Cars,USA,Medium
295,5464.69,2003-11-04,Shipped,Classic Cars,Austria,Medium
296,2860.76,2003-11-12,Shipped,Classic Cars,Norway,Small
297,5590.0,2003-11-20,Shipped,Classic Cars,Germany,Medium
298,2254.8,2003-12-02,Shipped,Classic Cars,Spain,Small
299,4946.76,2004-01-16,Shipped,Classic Cars,Spain,Medium
300,2495.5,2004-02-22,Shipped,Classic Cars,Switzerland,Small
301,3167.38,2004-04-09,Shipped,Classic Cars,Denmark,Medium
302,2402.84,2004-06-01,Cancelled,Classic Cars,UK,Small
303,2454.54,2004-07-06,Shipped,Classic Cars,Italy,Small
304,5464.69,2004-08-02,Shipped,Classic Cars,USA,Medium
305,4756.5,2004-08-30,Shipped,Classic Cars,Switzerland,Medium
306,3984.6,2003-10-04,Shipped,Classic Cars,Germany,Medium
307,3100.32,2004-10-16,Shipped,Classic Cars,Germany,Medium
308,4850.3,2004-11-03,Shipped,Classic Cars,Sweden,Medium
309,3846.98,2004-11-15,Shipped,Classic Cars,USA,Medium
310,4220.92,2004-11-24,Shipped,Classic Cars,Austria,Medium
311,3288.82,2005-01-06,Shipped,Classic Cars,Finland,Medium
312,3987.2,2005-02-08,Shipped,Classic Cars,USA,Medium
313,1809.5,2005-03-03,Shipped,Classic Cars,Sweden,Small
314,1092.2,2005-05-17,Shipped,Classic Cars,Austria,Small
315,4566.05,2003-02-11,Shipped,Classic Cars,Denmark,Medium
316,5938.14,2003-04-16,Shipped,Classic Cars,Singapore,Medium
317,8138.76,2003-06-03,Shipped,Classic Cars,USA,Large
318,9470.94,2003-08-08,Shipped,Classic Cars,USA,Large
319,7036.89,2003-09-28,Shipped,Classic Cars,Spain,Large
320,5559.03,2003-10-22,Shipped,Classic Cars,Singapore,Medium
321,7872.5,2003-11-06,Shipped,Classic Cars,Italy,Large
322,7886.2,2003-11-14,Shipped,Classic Cars,USA,Large
323,7232.16,2003-11-26,Shipped,Classic Cars,USA,Large
324,3114.4,2004-01-02,Shipped,Classic Cars,France,Medium
325,5045.22,2004-02-12,Shipped,Classic Cars,Ireland,Medium
326,6952.12,2004-03-19,Shipped,Classic Cars,Spain,Medium
327,4157.73,2004-05-05,Shipped,Classic Cars,Finland,Medium
328,7962.24,2004-07-20,Shipped,Classic Cars,USA,Large
329,3778.8,2004-08-20,Shipped,Classic Cars,USA,Medium
330,8253.0,2004-09-09,Shipped,Classic Cars,Italy,Large
331,3633.4,2004-10-14,Shipped,Classic Cars,UK,Medium
332,6913.8,2004-10-22,Shipped,Classic Cars,Denmark,Medium
333,2583.6,2004-11-05,Shipped,Classic Cars,Norway,Small
334,3105.62,2004-11-20,Shipped,Classic Cars,France,Medium
335,4408.56,2004-12-01,Shipped,Classic Cars,USA,Medium
336,3042.41,2004-12-15,Shipped,Classic Cars,France,Medium
337,5941.5,2005-01-26,Shipped,Classic Cars,Japan,Medium
338,3241.9,2005-02-17,Shipped,Classic Cars,USA,Medium
339,6109.29,2005-03-23,Shipped,Classic Cars,USA,Medium
340,3387.78,2005-05-05,Shipped,Classic Cars,USA,Medium
341,3485.82,2003-03-03,Shipped,Classic Cars,Philippines,Medium
342,2042.88,2003-05-08,Shipped,Classic Cars,France,Small
343,1800.24,2003-07-02,Shipped,Classic Cars,USA,Small
344,1340.64,2003-09-05,Shipped,Classic Cars,USA,Small
345,1762.08,2003-10-10,Shipped,Classic Cars,USA,Small
346,2298.24,2003-11-04,Shipped,Classic Cars,Australia,Small
347,1628.0,2003-11-12,Shipped,Classic Cars,Norway,Small
348,1939.2,2003-11-20,Shipped,Classic Cars,Germany,Small
349,3651.56,2003-12-02,Shipped,Classic Cars,Spain,Medium
350,2591.96,2004-01-15,Shipped,Classic Cars,France,Small
351,2864.17,2004-02-22,Shipped,Classic Cars,Switzerland,Small
352,1484.2,2004-04-09,Shipped,Classic Cars,Denmark,Small
353,2254.25,2004-06-01,Cancelled,Classic Cars,UK,Small
354,2681.35,2004-07-06,Shipped,Classic Cars,Italy,Small
355,3184.02,2004-08-02,Shipped,Classic Cars,USA,Medium
356,2846.63,2004-08-30,Shipped,Classic Cars,Switzerland,Small
357,1685.42,2003-10-04,Shipped,Classic Cars,Germany,Small
358,3988.6,2004-10-16,Shipped,Classic Cars,Germany,Medium
359,2789.96,2004-11-03,Shipped,Classic Cars,Sweden,Small
360,3607.56,2004-11-15,Shipped,Classic Cars,USA,Medium
361,3368.16,2004-11-24,Shipped,Classic Cars,Austria,Medium
362,2775.08,2005-01-06,Shipped,Classic Cars,Finland,Small
363,1627.92,2005-02-09,Shipped,Classic Cars,Finland,Small
364,2529.36,2005-03-03,Shipped,Classic Cars,Sweden,Small
365,3065.78,2005-05-17,Shipped,Classic Cars,Austria,Medium
366,4615.78,2003-01-31,Shipped,Trucks and Buses,Spain,Medium
367,5723.78,2003-04-04,Shipped,Trucks and Buses,USA,Medium
368,2559.6,2003-06-03,Shipped,Trucks and Buses,USA,Small
369,2140.11,2003-08-01,Shipped,Trucks and Buses,Finland,Small
370,3327.6,2003-09-21,Shipped,Trucks and Buses,Finland,Medium
371,6825.6,2003-10-22,Shipped,Trucks and Buses,Singapore,Medium
372,3543.28,2003-11-06,Shipped,Trucks and Buses,UK,Medium
373,4516.22,2003-11-14,Shipped,Trucks and Buses,Spain,Medium
374,6445.46,2003-11-25,Shipped,Trucks and Buses,USA,Medium
375,3384.36,2003-12-09,Shipped,Trucks and Buses,USA,Medium
376,4891.68,2004-02-10,Shipped,Trucks and Buses,USA,Medium
377,4521.96,2004-03-11,Shipped,Trucks and Buses,USA,Medium
378,5069.66,2004-05-05,Shipped,Trucks and Buses,Spain,Medium
379,6541.2,2004-06-15,Shipped,Trucks and Buses,Singapore,Medium
380,3012.27,2004-07-20,Shipped,Trucks and Buses,USA,Medium
381,5247.18,2004-08-19,Shipped,Trucks and Buses,USA,Medium
382,2214.87,2004-09-08,Shipped,Trucks and Buses,USA,Small
383,4773.18,2004-10-13,Shipped,Trucks and Buses,USA,Medium
384,6185.7,2004-10-22,Shipped,Trucks and Buses,Denmark,Medium
385,1517.88,2004-11-05,Shipped,Trucks and Buses,USA,Small
386,6372.6,2004-11-20,Shipped,Trucks and Buses,France,Medium
387,5232.96,2004-12-01,Shipped,Trucks and Buses,USA,Medium
388,2694.72,2004-12-10,Shipped,Trucks and Buses,Spain,Small
389,1749.79,2005-01-23,Shipped,Trucks and Buses,USA,Small
390,2130.56,2005-02-17,Shipped,Trucks and Buses,USA,Small
391,5951.34,2005-05-03,Shipped,Trucks and Buses,Spain,Medium
392,4692.6,2005-05-31,In Process,Trucks and Buses,France,Medium
393,3731.04,2003-03-03,Shipped,Classic Cars,Philippines,Medium
394,2142.0,2003-05-08,Shipped,Classic Cars,France,Small
395,2838.81,2003-07-02,Shipped,Classic Cars,USA,Small
396,3230.37,2003-09-05,Shipped,Classic Cars,USA,Medium
397,5182.0,2003-10-11,Shipped,Classic Cars,USA,Medium
398,4391.1,2003-11-04,Shipped,Classic Cars,Austria,Medium
399,4477.32,2003-11-12,Shipped,Classic Cars,Norway,Medium
400,3544.56,2003-11-20,Shipped,Classic Cars,USA,Medium
401,5195.85,2003-12-02,Shipped,Classic Cars,Spain,Medium
402,4180.44,2004-01-16,Shipped,Classic Cars,Spain,Medium
403,2684.43,2004-02-22,Shipped,Classic Cars,Switzerland,Small
404,1958.88,2004-04-12,Shipped,Classic Cars,Finland,Small
405,4910.57,2004-06-01,Cancelled,Classic Cars,UK,Medium
406,4468.4,2004-07-06,Shipped,Classic Cars,Italy,Medium
407,3127.88,2004-08-04,Shipped,Classic Cars,Singapore,Medium
408,2675.13,2004-08-30,Shipped,Classic Cars,Switzerland,Small
409,2807.61,2003-10-04,Shipped,Classic Cars,Germany,Small
410,2504.75,2004-10-16,Shipped,Classic Cars,Germany,Small
411,2984.88,2004-11-04,Shipped,Classic Cars,USA,Small
412,2524.86,2004-11-15,Shipped,Classic Cars,USA,Small
413,4136.0,2004-11-24,Shipped,Classic Cars,Austria,Medium
414,4068.7,2005-01-06,Shipped,Classic Cars,Finland,Medium
415,5182.0,2005-02-09,Shipped,Classic Cars,Finland,Medium
